Product,Price,KMs,Fuel,Owners,Year,Location,Brand
Hyundai i10 Sportz 1.2,330000,59000,Petrol,1,2010,Hyderabad,Hyundai
Maruti Suzuki Swift Old VDi,350000,110000,Diesel,1,2009,Hyderabad,Maruti
Hyundai i20 Magna 1.4 CRDI,470000,83000,Diesel,1,2012,Hyderabad,Hyundai
Hyundai Verna Fluidic 1.6 C...,600000,75000,Diesel,1,2012,Hyderabad,Hyundai
Maruti Suzuki Vitara Brezza...,965000,85000,Diesel,1,2017,Hyderabad,Maruti
Maruti Suzuki New Swift DZi...,730000,48000,Diesel,1,2017,Hyderabad,Maruti
Maruti Suzuki Swift Dzire VDi,625000,62000,Diesel,1,2015,Hyderabad,Maruti
Toyota Innova Crysta 2.4 ZX...,1775000,70000,Diesel,1,2016,Hyderabad,Toyota
Mini Cooper JCW,2500000,26000,Petrol,1,2016,Hyderabad,Mini
Ford EcoSport 1.5 TDCi Tita...,640000,71167,Diesel,1,2014,Hyderabad,Ford
Toyota Innova 2.5 E 8 STR,1050000,245414,Diesel,1,2013,Hyderabad,Toyota
Honda Amaze S MT Diesel,475000,88248,Diesel,2,2014,Hyderabad,Honda
Maruti Suzuki S Cross Alpha...,790000,74739,Diesel,2,2016,Hyderabad,Maruti
Hyundai Elite i20 1.4 U2 CR...,680000,65000,Diesel,1,2017,Hyderabad,Hyundai
Hyundai i20 Sportz 1.4 CRDI,425000,56000,Diesel,1,2012,Hyderabad,Hyundai
Maruti Suzuki Ertiga ZXi,1150000,16601,Petrol,1,2019,Hyderabad,Maruti
Hyundai Eon Era + LPG,225000,90000,LPG,1,2013,Hyderabad,Hyundai
Tata Nexon KRAZ Petrol,745000,35000,Petrol,1,2018,Hyderabad,Tata
Mercedes Benz CLA Class 200...,1800000,68000,Petrol,1,2016,Hyderabad,Mercedes
Maruti Suzuki Swift ZXi Plu...,725000,40000,Petrol,1,2018,Hyderabad,Maruti
Honda CR V 2.4 AT,1445000,49000,Petrol,1,2014,Hyderabad,Honda
Hyundai Verna Fluidic 1.6 C...,575000,86813,Diesel,1,2012,Hyderabad,Hyundai
Maruti Suzuki Swift VDi,590000,116000,Diesel,1,2015,Hyderabad,Maruti
Toyota Innova Crysta 2.4 ZX...,1775000,75000,Diesel,1,2016,Hyderabad,Toyota
Maruti Suzuki Baleno Sigma ...,690000,5000,Petrol,1,2019,Hyderabad,Maruti
Maruti Suzuki New Swift DZi...,620000,93000,Diesel,1,2014,Hyderabad,Maruti
Ford EcoSport 1.5 TDCi Tita...,630000,67000,Diesel,1,2013,Hyderabad,Ford
Hyundai i10 Era 1.1 LPG,380000,72000,LPG,1,2013,Hyderabad,Hyundai
Mahindra Thar CRDe 4x4 AC,1050000,22321,Diesel,1,2019,Hyderabad,Mahindra
Honda City VX(O) BL 1.5L i-...,730000,66000,Diesel,1,2015,Hyderabad,Honda
Renault Pulse RxZ Petrol,410000,73000,Petrol,1,2016,Hyderabad,Renault
